timestamp,cpu_percent,memory_percent,disk_usage,network_activity
2025-01-27T21:03:35.482972,56.8,91.4,90.7,382649749
2025-01-27T21:03:36.515776,48.6,91.4,90.7,382654375
2025-01-27T21:03:37.568945,45.0,91.4,90.7,382655620
2025-01-27T21:03:38.600271,42.6,91.4,90.7,382656454
2025-01-27T21:03:39.634043,39.6,91.4,90.7,382659019
2025-01-27T21:03:40.667214,49.1,91.4,90.7,382661071
2025-01-27T21:03:41.711806,47.3,91.5,90.7,382668555
2025-01-27T21:03:42.742126,49.2,91.2,90.7,382671479
2025-01-27T21:03:43.786031,48.5,91.2,90.7,382673747
2025-01-27T21:03:44.828543,51.0,91.3,90.7,382674342
2025-01-27T21:03:45.874061,48.4,91.2,90.7,382675021
2025-01-27T21:03:46.917759,50.4,91.1,90.7,382677638
2025-01-27T21:03:47.962306,49.6,91.1,90.7,382682293
2025-01-27T21:03:49.006590,63.7,91.6,90.7,382698620
2025-01-27T21:03:50.048527,53.8,91.7,90.7,382834756
2025-01-27T21:03:51.089082,56.0,92.0,90.7,383040265
2025-01-27T21:03:52.125547,57.0,92.1,90.7,383547101
2025-01-27T21:03:53.163912,54.8,92.3,90.7,383621891
2025-01-27T21:03:54.207828,61.9,90.9,90.7,383632398
2025-01-27T21:03:55.251120,48.4,90.9,90.7,383637727
2025-01-27T21:03:56.281188,57.7,91.1,90.7,383661084
2025-01-27T21:03:57.320805,43.1,90.9,90.7,383684766
2025-01-27T21:03:58.365080,40.4,90.7,90.7,383699619
2025-01-27T21:03:59.395851,40.3,90.6,90.7,383705343
2025-01-27T21:04:00.453898,43.6,90.2,90.7,383707598
2025-01-27T21:04:01.491174,52.0,90.1,90.7,383710425
2025-01-27T21:04:02.536900,45.4,90.0,90.7,383712124
2025-01-27T21:04:03.568814,47.0,89.6,90.7,383716085
2025-01-27T21:04:04.611454,48.2,89.6,90.7,383720990
2025-01-27T21:04:05.641814,51.8,89.7,90.7,383727062
2025-01-27T21:04:06.680325,42.4,89.7,90.7,383733518
2025-01-27T21:04:07.708553,37.5,89.7,90.7,383744282
2025-01-27T21:04:08.744549,37.5,89.5,90.7,383746462
2025-01-27T21:04:09.779540,39.8,89.5,90.7,383748493
2025-01-27T21:04:10.814397,40.2,89.5,90.7,383749141
2025-01-27T21:04:11.845610,63.4,89.8,90.7,383759765
2025-01-27T21:04:12.883534,43.9,89.7,90.7,383770569
2025-01-27T21:04:13.913044,37.5,89.7,90.7,383786983
2025-01-27T21:04:14.945437,37.2,89.7,90.7,383788740
2025-01-27T21:04:15.974914,40.8,89.8,90.7,383792466
2025-01-27T21:04:17.004759,46.2,90.3,90.7,383797846
2025-01-27T21:04:18.033869,49.1,90.3,90.7,383823117
2025-01-27T21:04:19.078810,65.5,90.4,90.7,383851714
2025-01-27T21:04:20.122693,37.1,90.5,90.7,383881955
2025-01-27T21:04:21.149790,8.1,90.5,90.7,383887241
2025-01-27T21:04:22.175902,13.0,90.5,90.7,383932497
2025-01-27T21:04:23.201024,13.6,90.5,90.7,383944456
2025-01-27T21:04:24.228756,11.2,90.5,90.7,383945968
2025-01-27T21:04:25.268799,11.6,90.5,90.7,383948500
2025-01-27T21:04:26.301330,16.7,90.3,90.7,383951780
2025-01-27T21:04:27.342187,9.7,90.4,90.7,383952851
2025-01-27T21:04:28.383056,11.0,90.3,90.7,383953374
2025-01-27T21:04:29.408997,12.5,90.3,90.7,383956157
2025-01-27T21:04:30.449876,7.2,90.1,90.7,383958693
2025-01-27T21:04:31.478884,7.2,90.0,90.7,383974143
2025-01-27T21:04:32.505973,7.2,90.0,90.7,383976508
2025-01-27T21:04:33.535652,8.1,90.1,90.7,383976972
2025-01-27T21:04:34.565206,12.1,90.2,90.7,383978645
2025-01-27T21:04:35.601911,11.5,90.0,90.7,383982844
2025-01-27T21:04:36.631687,13.7,90.0,90.7,383986127
2025-01-27T21:04:37.670279,32.0,91.3,90.7,384013552
2025-01-27T21:04:38.708886,18.1,91.3,90.7,389736059
2025-01-27T21:04:39.749521,24.3,91.5,90.7,389748181
2025-01-27T21:04:40.791236,34.4,91.8,90.7,394086783
2025-01-27T21:04:41.835328,37.1,91.6,90.7,395894080
2025-01-27T21:04:42.887827,39.5,92.1,90.7,408609199
2025-01-27T21:04:43.931733,38.8,94.5,90.7,408645683
2025-01-27T21:04:44.974889,37.6,90.5,90.7,408653987
